S,Z_FFT(f)
X Unit(Hz),Y Unit(mm)
X Value,Y Value(Real)
13,3.707463491764429e-05
13.0625,0.00036077392451261403
13.125,-0.00031524481869382726
13.1875,-8.11223017649354e-05
13.25,0.0001411779066984309
13.3125,0.00015623842841705482
13.375,-0.0002579017177595233
13.4375,0.00011767662044803728
13.5,6.787502826455238e-05
13.5625,-0.000304282337992845
13.625,0.0005371055635805533
13.6875,-0.0003889127242473478
13.75,-0.00040713914017942443
13.8125,0.0006211571985659248
13.875,-0.00014195251196724712
13.9375,-0.00021490613733021746
14,0.00028044578925801034
14.0625,8.756951785926503e-05
14.125,-0.00014775348233797558
14.1875,-0.00010348336587640006
14.25,-1.0587443810550212e-05
14.3125,-6.380993511356792e-05
14.375,0.0004018949653072923
14.4375,-0.00019063250533690734
14.5,-0.00014384080770923902
14.5625,0.00025119734914369474
14.625,-0.0002246887760293248
14.6875,-6.702482835407864e-05
14.75,0.00012883117506135022
14.8125,-0.00011728791093901236
14.875,0.00012617377365131688
14.9375,-3.3580754177364724e-05
15,-4.269271514090178e-05
15.0625,8.337801205016149e-05
15.125,0.00016315672723976604
15.1875,-0.0002805123244797869
15.25,-1.2746085298331877e-06
15.3125,6.944427610733328e-05
15.375,0.00019594968136971147
15.4375,-6.31001668693898e-05
15.5,-0.00018319384764708957
15.5625,0.00028287374220781203
15.625,-0.0003292882979621936
15.6875,-0.0001976234784706321
15.75,0.0005943092560301011
15.8125,-0.00042553165258141235
15.875,0.00023779307412041817
15.9375,-9.1563606474665e-05
16,-1.3385808017574163e-06
16.0625,-0.0002436180466247606
16.125,0.000527070938005636
16.1875,-0.00017558640763581934
16.25,-0.00031156861268755165
16.3125,0.0002657638731307088
16.375,4.148077437093889e-05
16.4375,-0.00021042002629201306
16.5,8.227256387272064e-05
16.5625,7.188763362364625e-05
16.625,5.615185116880639e-05
16.6875,-0.00021769037061858398
16.75,0.00019004248485998687
16.8125,4.025090927228803e-06
16.875,-0.00016415928882906883
16.9375,9.87144477271329e-07
17,9.830087321915926e-05
17.0625,0.0001865583101334778
17.125,-0.00045500016199184756
17.1875,0.00044289595280133653
17.25,-0.00012703341667474888
17.3125,-0.00020788938570603932
17.375,0.00027367681809664646
17.4375,-0.0001330200944948956
17.5,-6.960934229027771e-05
17.5625,2.6203521130696572e-05
17.625,0.00010430611041556404
17.6875,-0.0001626303856028244
17.75,0.00040898231645769556
17.8125,-0.00036201592479301326
17.875,-4.4438529300805385e-05
17.9375,-0.00023457997144760157
18,0.0006346533609757898
18.0625,-0.0002379029524490761
18.125,0.00013182520319787727
18.1875,-0.0002568370689459698
18.25,-0.0002394453701981547
18.3125,0.00041040621567844937
18.375,-0.00015442185485881055
18.4375,-0.00014464542630321375
18.5,9.76741318936547e-05
18.5625,0.00024977515522550675
18.625,0.0004484211331146071
18.6875,-0.0007365653118540649
18.75,-0.00019830460473713174
18.8125,0.00043472067545735626
18.875,0.0007179535259638214
18.9375,-0.0012910004443256184
19,-0.0005108513505547307
19.0625,0.002629399205034133
19.125,-0.0025461831683060154
19.1875,0.0005900005248804518
19.25,0.0002781797832085431
19.3125,0.00021122046689470153
19.375,-0.0005186123530620534
19.4375,0.00025139104309346294
19.5,-1.0479594081402865e-05
19.5625,0.0006495250204352487
19.625,-0.0025779474981391104
19.6875,0.002068229605356464
19.75,-0.0014862089301459491
19.8125,-0.003801823822868755
19.875,0.02789994869090151
19.9375,-0.03238669523852877
20,0.007384530363196973
20.0625,0.0019512317521730438
20.125,0.0009864137382464833
20.1875,-0.0009243689760296547
20.25,-0.00026725331281340914
20.3125,0.0005561518037211499
20.375,0.00014187749286520557
20.4375,-5.45951372998843e-05
20.5,0.0003923202598343778
20.5625,0.0005999922336741292
20.625,-0.003814190449702437
20.6875,0.002550592171246535
20.75,0.0010029538088929257
20.8125,-0.00023010568384052021
20.875,-0.0010066349886983517
20.9375,0.0006840159016974212
21,-8.370645332433924e-05
21.0625,-0.000116174504682931
21.125,7.489188824649773e-06
21.1875,-0.0001531945201804774
21.25,2.3657049652570095e-05
21.3125,3.420069916160173e-05
21.375,0.0003176395466653048
21.4375,-0.0001253448971283433
21.5,-7.443684779673276e-05
21.5625,-0.0002702460619730118
21.625,0.00014868757602926053
21.6875,0.00020497824948506604
21.75,-0.00026375744255346945
21.8125,0.00018117896161129465
21.875,-1.2568434293314112e-05
21.9375,-6.915458072853653e-05
22,4.60167903781894e-05
22.0625,2.774119600701397e-05
22.125,-0.00022180664416282525
22.1875,0.0003060014535094524
22.25,-0.00016920469647629943
22.3125,0.00020192989325096278
22.375,-0.0003425957402214408
22.4375,0.0002512230423690198
22.5,-1.9715539423259543e-05
22.5625,0.00010126253613407243
22.625,-0.0002606955433748226
22.6875,0.00023792142656020587
22.75,-0.0003347071242387756
